Date,Clicks,Impressions,CTR,Position
2026-01-05,2,4,50%,3.2
2026-01-06,0,4,0%,2.2
2026-01-07,2,13,15.38%,3.2
2026-01-08,0,11,0%,3.7
2026-01-09,0,12,0%,4.4
2026-01-10,0,0,,
2026-01-11,0,6,0%,3.3
2026-01-12,4,26,15.38%,5.8
2026-01-13,1,12,8.33%,1.8
2026-01-14,3,13,23.08%,2.4
2026-01-15,0,6,0%,4.8
2026-01-16,0,8,0%,6.1
2026-01-17,1,3,33.33%,6
2026-01-18,1,6,16.67%,2.5
2026-01-19,1,10,10%,6.5
2026-01-20,1,13,7.69%,2.5
2026-01-21,0,4,0%,3.2
2026-01-22,2,6,33.33%,2.2
2026-01-23,0,4,0%,3.8
2026-01-24,2,7,28.57%,6.7
2026-01-25,0,5,0%,4.2
2026-01-26,3,7,42.86%,2.6
2026-01-27,0,7,0%,1.9
2026-01-28,3,10,30%,2.7
2026-01-29,2,9,22.22%,2.2
2026-01-30,1,8,12.5%,2.2
2026-01-31,2,5,40%,2
2026-02-01,1,4,25%,4.2
2026-02-02,0,7,0%,5.4
2026-02-03,4,6,66.67%,2
2026-02-04,0,8,0%,4.1
2026-02-05,0,4,0%,1.8
2026-02-06,2,16,12.5%,3.9
2026-02-07,1,1,100%,2
2026-02-08,0,3,0%,4.7
2026-02-09,1,11,9.09%,4.3
2026-02-10,2,10,20%,3.1
2026-02-11,1,7,14.29%,4
2026-02-12,0,3,0%,3
2026-02-13,1,5,20%,1.8
2026-02-14,0,7,0%,4.9
2026-02-15,0,2,0%,7
2026-02-16,0,2,0%,1.5
2026-02-17,2,13,15.38%,3
2026-02-18,0,8,0%,3.1
2026-02-19,0,11,0%,2.4
2026-02-20,0,4,0%,4.2
2026-02-21,1,4,25%,3.5
2026-02-22,0,6,0%,4.3
2026-02-23,2,4,50%,2
2026-02-24,1,7,14.29%,3
2026-02-25,2,4,50%,2.8
2026-02-26,0,5,0%,4.6
2026-02-27,3,9,33.33%,1.6
2026-02-28,1,7,14.29%,2.6
2026-03-01,0,1,0%,7
2026-03-02,1,6,16.67%,3.7
2026-03-03,0,4,0%,3
2026-03-04,2,3,66.67%,2
2026-03-05,0,3,0%,2.7
2026-03-06,3,4,75%,2.5
2026-03-07,0,6,0%,1.3
2026-03-08,0,4,0%,1.5
2026-03-09,1,7,14.29%,3.3
2026-03-10,3,12,25%,1.7
2026-03-11,1,11,9.09%,3.3
2026-03-12,1,1,100%,2
2026-03-13,2,6,33.33%,2.2
2026-03-14,0,3,0%,1.3
2026-03-15,0,4,0%,2.2
2026-03-16,0,4,0%,7.2
2026-03-17,1,12,8.33%,3
2026-03-18,3,13,23.08%,1.7
2026-03-19,1,7,14.29%,1.9
2026-03-20,0,3,0%,1
2026-03-21,0,1,0%,2
2026-03-22,1,8,12.5%,3.9
2026-03-23,3,9,33.33%,3.1
2026-03-24,0,5,0%,3.8
2026-03-25,0,4,0%,4
2026-03-26,1,7,14.29%,2.6
2026-03-27,0,4,0%,4.5
2026-03-28,0,2,0%,1.5
2026-03-29,0,3,0%,4.3
2026-03-30,1,6,16.67%,2
2026-03-31,1,6,16.67%,3.8
2026-04-01,0,3,0%,5
2026-04-02,1,4,25%,2.8
2026-04-03,0,2,0%,8
2026-04-04,0,2,0%,1.5
