Country,Clicks,Impressions,CTR,Position
United States,72,441,16.33%,3.13
Spain,6,12,50%,2.5
India,1,13,7.69%,2.62
Italy,1,6,16.67%,3.83
Hong Kong,1,5,20%,2.6
Australia,1,5,20%,2.8
Japan,1,4,25%,9.25
Canada,0,16,0%,6
United Kingdom,0,12,0%,4.58
South Korea,0,8,0%,2.75
Bangladesh,0,7,0%,3.14
China,0,6,0%,2
Singapore,0,5,0%,2.8
Thailand,0,4,0%,3.75
Brazil,0,3,0%,1
Malaysia,0,3,0%,1
Germany,0,3,0%,4.67
Taiwan,0,3,0%,5.67
France,0,1,0%,1
Indonesia,0,1,0%,1
Peru,0,1,0%,1
Puerto Rico,0,1,0%,1
Saudi Arabia,0,1,0%,1
Czechia,0,1,0%,2
Algeria,0,1,0%,2
Costa Rica,0,1,0%,3
Finland,0,1,0%,3
Macau,0,1,0%,3
Estonia,0,1,0%,4
Somalia,0,1,0%,5
Switzerland,0,1,0%,6
Vietnam,0,1,0%,6
Lebanon,0,1,0%,8
Sweden,0,1,0%,8
Netherlands,0,1,0%,9
Sudan,0,1,0%,9
Bolivia,0,1,0%,10
New Zealand,0,1,0%,10
Philippines,0,1,0%,26
